Country	Population	Date
New Caledonia	245580	27-Jul-09
Vanuatu	234023	16-Nov-09
French Guiana	224469	1-Jan-09
Mayotte	217000	1-Jul-12
Samoa	186340	7-Nov-11
São Tomé and Príncipe	172000	1-Jul-12
Saint Lucia	166526	10-May-10
Guam	159358	1-Apr-10
Curacao	149679	26-Mar-11
Grenada	110821	1-Jul-09
United States Virgin Islands	106405	1-Apr-10
Tonga	103036	30-Nov-11
Kiribati	103000	1-Jul-12
Federated States of Micronesia	102843	4-Apr-10
Aruba	101484	29-Sep-10
Saint Vincent and the Grenadines	100892	1-Jul-09
Jersey(UK)	97857	27-Mar-11
Seychelles	90945	26-Aug-10
Antigua and Barbuda	86295	27-May-11
Isle of Man(UK)	84497	27-Mar-11
Andorra	78115	1-Jul-11
Dominica	71293	14-May-11
Bermuda	64237	20-May-10
Guemsey	62431	31-Mar-10
Greenland	56749	1-Jan-12
American Samoa	55519	1-Apr-10
Cayman Islands	55456	10-Oct-10
Marshall Islands	54305	1-Jul-10
Northern Mariana Islands	53883	1-Apr-10
Saint Kitts and Nevis	51970	1-Jul-09
Faroe Islands	48386	1-May-12
Sint Maaten	37429	1-Jan-10
Saint Martin	36824	1-Jan-09
Liechtenstein	36476	31-Dec-11
Monaco	35000	1-Jul-12
San Marino	32380	30-Jun-12
Turks and Caicos Islands	31458	25-Jan-12
Gibraltar	29752	1-Jul-11
British Virbin Islands	29537	1-Jul-10
land Islands	28355	31-Dec-11
Caribbean Netherlands	21133	1-Jan-11
Palau	21000	1-Jul-12
Cook Islands	17791	1-Dec-11
Anguilla	13452	11-May-11
Wallis and Futuna	13000	1-Jul-12
Nauru	10000	1-Jul-12
Tuvalu	10000	1-Jul-12
Saint Barthélemy(France)	8902	1-Jan-09
Saint Pierre and Miquelon	6082	1-Jan-09
Montserrat	4922	12-May-11
"Saint Helena, Ascension and Tristan da Cunha"	4000	1-Jul-12
Falkland Islands	3000	1-Jul-12
Svalbard and Jan Mayen	2495	1-Mar-10
Norfolk Island	2302	9-Aug-11
Christmas Island	2072	9-Aug-11
Tokelau	1411	18-Oct-11
Niue	1000	1-Jul-12
Vatican City	800	1-Mar-11
Pitcairn Islands	66	1-Jul-08
